metodo,n,exitos,probabilidad_exito,ic95_inferior,ic95_superior,error_estandar
Polar,100,100,1.0,0.9630051925239981,0.9999999999999999,0.0
Polar,500,499,0.998,0.9887590072528046,0.9996468726904154,0.001997998998998749
Polar,1000,998,0.998,0.9927370411104123,0.9994513678975429,0.0014127986409959495
Polar,2500,2489,0.9956,0.9921378820399516,0.9975413372844657,0.0013237280687512763
Polar,5000,4980,0.996,0.9938293340542685,0.9974090776492515,0.0008926365441768563
Polar,10000,9957,0.9957,0.9942133470999059,0.9968059429296363,0.0006543324842921962
Aceptacion-Rechazo,100,100,1.0,0.9630051925239981,0.9999999999999999,0.0
Aceptacion-Rechazo,500,500,1.0,0.9923753814690964,0.9999999999999999,0.0
Aceptacion-Rechazo,1000,995,0.995,0.9883488743952387,0.9978624960042348,0.002230470802319547
Aceptacion-Rechazo,2500,2487,0.9948,0.9911231137280737,0.99695856044812,0.0014384658494382106
Aceptacion-Rechazo,5000,4976,0.9952,0.9928673977037032,0.9967722423680367,0.0009774415583552836
Aceptacion-Rechazo,10000,9951,0.9951,0.9935283587352335,0.996291392109282,0.0006982828939620399
